old_name,input_directory,new_name_1_component,new_name_2_components,new_name_3_components
wf_claude_claude-3-haiku-20240307_narrative_20251010_201313,C:\Users\kelly\GitHub\idt\idtexternal\testimages,wf_testimages_claude_claude-3-haiku-20240307_narrative_20251010_201313,wf_idtexternal_testimages_claude_claude-3-haiku-20240307_narrative_20251010_201313,wf_idt_idtexternal_testimages_claude_claude-3-haiku-20240307_narrative_20251010_201313
wf_claude_claude-3-haiku-20240307_narrative_20251010_210405,\\ford\home\photos\MobileBackup\iPhone\2025\09,wf_09_claude_claude-3-haiku-20240307_narrative_20251010_210405,wf_2025_09_claude_claude-3-haiku-20240307_narrative_20251010_210405,wf_iphone_2025_09_claude_claude-3-haiku-20240307_narrative_20251010_210405
wf_claude_claude-3-haiku-20240307_narrative_20251010_211627,C:\Users\kelly\GitHub\idt\idtexternal\testimages,wf_testimages_claude_claude-3-haiku-20240307_narrative_20251010_211627,wf_idtexternal_testimages_claude_claude-3-haiku-20240307_narrative_20251010_211627,wf_idt_idtexternal_testimages_claude_claude-3-haiku-20240307_narrative_20251010_211627
wf_claude_claude-3-haiku-20240307_narrative_20251011_004324,C:\Users\kelly\GitHub\idt\idtexternal\idt\bat\testimages,wf_testimages_claude_claude-3-haiku-20240307_narrative_20251011_004324,wf_bat_testimages_claude_claude-3-haiku-20240307_narrative_20251011_004324,wf_idt_bat_testimages_claude_claude-3-haiku-20240307_narrative_20251011_004324
wf_claude_claude-3-haiku-20240307_narrative_20251011_014406,\\ford\home\photos\MobileBackup\iPhone\2025\09,wf_09_claude_claude-3-haiku-20240307_narrative_20251011_014406,wf_2025_09_claude_claude-3-haiku-20240307_narrative_20251011_014406,wf_iphone_2025_09_claude_claude-3-haiku-20240307_narrative_20251011_014406
wf_claude_claude-3-haiku-20240307_narrative_20251011_100046,\\ford\home\photos\MobileBackup\iPhone\2025\08,wf_08_claude_claude-3-haiku-20240307_narrative_20251011_100046,wf_2025_08_claude_claude-3-haiku-20240307_narrative_20251011_100046,wf_iphone_2025_08_claude_claude-3-haiku-20240307_narrative_20251011_100046
wf_claude_claude-3-haiku-20240307_narrative_20251011_103631,\\ford\home\photos\MobileBackup\iPhone\2025\07,wf_07_claude_claude-3-haiku-20240307_narrative_20251011_103631,wf_2025_07_claude_claude-3-haiku-20240307_narrative_20251011_103631,wf_iphone_2025_07_claude_claude-3-haiku-20240307_narrative_20251011_103631
wf_claude_claude-opus-4-1-20250805_detailed_20251009_162857,c:\idt\testimages,wf_testimages_claude_claude-opus-4-1-20250805_detailed_20251009_162857,wf_idt_testimages_claude_claude-opus-4-1-20250805_detailed_20251009_162857,wf_c_idt_testimages_claude_claude-opus-4-1-20250805_detailed_20251009_162857
wf_claude_claude-opus-4-1-20250805_detailed_20251009_163646,C:\idt\testimages,wf_testimages_claude_claude-opus-4-1-20250805_detailed_20251009_163646,wf_idt_testimages_claude_claude-opus-4-1-20250805_detailed_20251009_163646,wf_c_idt_testimages_claude_claude-opus-4-1-20250805_detailed_20251009_163646
wf_claude_claude-opus-4-1-20250805_narrative_20251010_210506,C:\Users\kelly\GitHub\idt\idtexternal\testimages,wf_testimages_claude_claude-opus-4-1-20250805_narrative_20251010_210506,wf_idtexternal_testimages_claude_claude-opus-4-1-20250805_narrative_20251010_210506,wf_idt_idtexternal_testimages_claude_claude-opus-4-1-20250805_narrative_20251010_210506
wf_claude_claude-opus-4-1-20250805_narrative_20251011_003852,C:\Users\kelly\GitHub\idt\idtexternal\idt\bat\testimages,wf_testimages_claude_claude-opus-4-1-20250805_narrative_20251011_003852,wf_bat_testimages_claude_claude-opus-4-1-20250805_narrative_20251011_003852,wf_idt_bat_testimages_claude_claude-opus-4-1-20250805_narrative_20251011_003852
wf_claude_claude-opus-4-20250514_detailed_20251009_163011,c:\idt\testimages,wf_testimages_claude_claude-opus-4-20250514_detailed_20251009_163011,wf_idt_testimages_claude_claude-opus-4-20250514_detailed_20251009_163011,wf_c_idt_testimages_claude_claude-opus-4-20250514_detailed_20251009_163011
wf_claude_claude-opus-4-20250514_detailed_20251009_163654,C:\idt\testimages,wf_testimages_claude_claude-opus-4-20250514_detailed_20251009_163654,wf_idt_testimages_claude_claude-opus-4-20250514_detailed_20251009_163654,wf_c_idt_testimages_claude_claude-opus-4-20250514_detailed_20251009_163654
wf_claude_claude-opus-4-20250514_narrative_20251010_211036,C:\Users\kelly\GitHub\idt\idtexternal\testimages,wf_testimages_claude_claude-opus-4-20250514_narrative_20251010_211036,wf_idtexternal_testimages_claude_claude-opus-4-20250514_narrative_20251010_211036,wf_idt_idtexternal_testimages_claude_claude-opus-4-20250514_narrative_20251010_211036
wf_claude_claude-opus-4-20250514_narrative_20251011_004046,C:\Users\kelly\GitHub\idt\idtexternal\idt\bat\testimages,wf_testimages_claude_claude-opus-4-20250514_narrative_20251011_004046,wf_bat_testimages_claude_claude-opus-4-20250514_narrative_20251011_004046,wf_idt_bat_testimages_claude_claude-opus-4-20250514_narrative_20251011_004046
